AvailabilityZone,InstanceType,SpotPrice,Timestamp,Compute Units (ECU),Physical Processor,Clock Speed(GHz),intr rate,CostEfficiency
ap-south-1c,c5.xlarge,0.0971,2024-02-18 09:31:38+00:00,20,Intel Xeon Platinum 8124M,,1,205.97322348094747
ap-northeast-1c,c5n.xlarge,0.0973,2024-02-18 09:46:39+00:00,20,Intel Xeon Platinum 8124M,,0,205.54984583761563
ap-northeast-1a,c5d.xlarge,0.0973,2024-02-18 10:16:41+00:00,20,Intel Xeon Platinum 8124M,,1,205.54984583761563
us-west-2d,r5.xlarge,0.0926,2024-02-18 11:31:58+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,205.18358531317494
us-west-2a,r5.xlarge,0.0929,2024-02-18 08:32:01+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,204.52099031216363
us-east-1f,c4.xlarge,0.0783,2024-02-17 23:17:30+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,204.34227330779055
eu-west-2c,z1d.xlarge,0.1128,2024-02-18 09:01:38+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,203.90070921985816
eu-west-2c,c4.xlarge,0.0789,2024-02-18 08:17:24+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,202.78833967046896
eu-west-2a,c4.xlarge,0.0789,2024-02-18 09:16:26+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,202.78833967046896
ap-northeast-1d,m5.xlarge,0.0789,2024-02-18 10:16:14+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,202.78833967046896
us-west-2b,z1d.xlarge,0.1136,2024-02-18 07:47:34+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,202.46478873239437
eu-north-1b,m5d.xlarge,0.0791,2024-02-18 06:46:46+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,202.275600505689
eu-west-3c,m5.xlarge,0.0792,2024-02-18 08:46:14+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,202.020202020202
eu-west-1c,c5d.xlarge,0.0996,2024-02-18 11:46:33+00:00,20,Intel Xeon Platinum 8124M,,0,200.80321285140565
us-east-1f,c5n.xlarge,0.0996,2024-02-18 12:17:34+00:00,20,Intel Xeon Platinum 8124M,,2,200.80321285140565
eu-west-2a,m5.xlarge,0.0799,2024-02-18 07:31:46+00:00,16,Intel Xeon Platinum 8175,2.5GHz,4,200.2503128911139
sa-east-1b,c5d.xlarge,0.0999,2024-02-18 03:31:30+00:00,20,Intel Xeon Platinum 8124M,,0,200.2002002002002
ap-northeast-1a,m5.xlarge,0.08,2024-02-17 17:01:14+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,200.0
us-east-2c,c4.xlarge,0.0802,2024-02-18 07:46:33+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,199.50124688279303
us-east-1a,m5.xlarge,0.0802,2024-02-18 07:17:18+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,199.50124688279303
eu-west-2a,z1d.xlarge,0.1153,2024-02-18 11:01:31+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,199.479618386817
eu-west-3b,c5.xlarge,0.1003,2024-02-18 09:16:39+00:00,20,Intel Xeon Platinum 8124M,,0,199.40179461615153
us-east-2b,r5.xlarge,0.0955,2024-02-18 11:47:07+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,198.95287958115182
eu-west-1b,m5.xlarge,0.0806,2024-02-18 10:31:41+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,198.51116625310172
us-west-1a,m5.xlarge,0.0806,2024-02-18 11:31:30+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,198.51116625310172
us-east-1c,m5.xlarge,0.0809,2024-02-18 11:02:20+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,197.7750309023486
eu-north-1a,r5d.xlarge,0.0961,2024-02-18 09:47:24+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,197.71071800208117
us-east-1b,m5.xlarge,0.081,2024-02-18 07:17:18+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,197.53086419753086
ap-northeast-1a,r5.xlarge,0.0962,2024-02-18 08:46:40+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,197.50519750519751
ap-northeast-2c,r5.xlarge,0.0963,2024-02-18 09:46:46+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,197.30010384215993
us-east-1d,c5n.xlarge,0.1014,2024-02-18 07:02:43+00:00,20,Intel Xeon Platinum 8124M,,2,197.23865877712032
ca-central-1b,r5d.xlarge,0.0964,2024-02-18 06:01:40+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,197.0954356846473
eu-north-1b,r5d.xlarge,0.0964,2024-02-18 05:46:35+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,197.0954356846473
ap-northeast-1c,r5.xlarge,0.0966,2024-02-18 10:16:39+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,196.68737060041406
ap-southeast-2b,c5d.xlarge,0.1019,2024-02-18 09:16:30+00:00,20,Intel Xeon Platinum 8124M,,0,196.27085377821393
us-east-2b,c4.xlarge,0.0816,2024-02-18 03:46:33+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,196.078431372549
ap-south-1a,m5.xlarge,0.0816,2024-02-18 12:16:28+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,196.078431372549
ap-south-1b,z1d.xlarge,0.1174,2024-02-18 10:31:41+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,195.9114139693356
us-west-2c,c5n.xlarge,0.1022,2024-02-17 18:47:20+00:00,20,Intel Xeon Platinum 8124M,,1,195.69471624266146
eu-central-1a,m5.xlarge,0.0819,2024-02-18 12:16:40+00:00,16,Intel Xeon Platinum 8175,2.5GHz,3,195.36019536019535
ap-southeast-2a,z1d.xlarge,0.1178,2024-02-18 12:01:23+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,195.24617996604414
ap-southeast-1a,m5.xlarge,0.082,2024-02-18 04:16:25+00:00,16,Intel Xeon Platinum 8175,2.5GHz,3,195.1219512195122
ap-southeast-1b,m5.xlarge,0.0821,2024-02-18 05:46:24+00:00,16,Intel Xeon Platinum 8175,2.5GHz,3,194.88428745432398
us-east-1d,c5d.xlarge,0.1027,2024-02-18 08:17:10+00:00,20,Intel Xeon Platinum 8124M,,0,194.74196689386562
us-west-1a,c3.xlarge,0.0722,2024-02-18 07:01:39+00:00,14,Intel Xeon E5-2680 v2 (Ivy Bridge),,0,193.90581717451522
eu-west-1b,c5n.xlarge,0.1033,2024-02-18 09:16:50+00:00,20,Intel Xeon Platinum 8124M,,0,193.61084220716359
eu-north-1c,r5d.xlarge,0.0982,2024-02-18 00:02:22+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,193.4826883910387
us-west-1a,r5.xlarge,0.0983,2024-02-18 09:16:25+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,193.28585961342827
us-west-2b,c3.xlarge,0.0726,2024-02-18 07:32:34+00:00,14,Intel Xeon E5-2680 v2 (Ivy Bridge),,2,192.8374655647383
us-east-2b,m5d.xlarge,0.083,2024-02-18 10:18:02+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,192.77108433734938
eu-west-3b,r5d.xlarge,0.0987,2024-02-18 04:01:28+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,192.50253292806485
us-west-2a,z1d.xlarge,0.1195,2024-02-18 06:47:35+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,192.46861924686192
ap-southeast-1c,c5d.xlarge,0.1042,2024-02-18 06:31:39+00:00,20,Intel Xeon Platinum 8124M,,1,191.93857965451056
ap-southeast-2c,m5.xlarge,0.0841,2024-02-18 10:45:59+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,190.2497027348395
ap-northeast-2d,r5.xlarge,0.1001,2024-02-18 05:32:36+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,189.81018981018983
ap-south-1a,r5.xlarge,0.1008,2024-02-18 02:16:36+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,188.4920634920635
eu-west-1c,m5.xlarge,0.0849,2024-02-18 10:16:41+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,188.4570082449941
ap-southeast-2a,c5d.xlarge,0.1063,2024-02-18 12:01:11+00:00,20,Intel Xeon Platinum 8124M,,0,188.1467544684854
eu-west-3a,c5n.xlarge,0.1064,2024-02-17 23:02:30+00:00,20,Intel Xeon Platinum 8124M,,1,187.9699248120301
us-east-2c,r5.xlarge,0.1011,2024-02-18 10:17:24+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,187.93273986152326
eu-north-1a,m5d.xlarge,0.0858,2024-02-18 09:16:30+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,186.4801864801865
ap-northeast-1d,c5d.xlarge,0.1073,2024-02-18 12:16:32+00:00,20,Intel Xeon Platinum 8124M,,1,186.3932898415657
ap-northeast-2b,r5.xlarge,0.102,2024-02-18 07:46:41+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,186.27450980392157
us-east-1e,c4.xlarge,0.0859,2024-02-18 09:32:35+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,186.26309662398137
eu-west-1a,m5.xlarge,0.0859,2024-02-18 06:46:42+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,186.26309662398137
ap-northeast-1c,m5.xlarge,0.0863,2024-02-18 11:46:14+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,185.3997682502897
ap-east-1a,c5n.xlarge,0.1079,2024-02-18 10:00:49+00:00,20,Intel Xeon Platinum 8124M,,1,185.35681186283597
ca-central-1d,c5.xlarge,0.1081,2024-02-18 08:46:20+00:00,20,Intel Xeon Platinum 8124M,,4,185.01387604070305
us-east-1c,c5n.xlarge,0.1082,2024-02-18 04:02:42+00:00,20,Intel Xeon Platinum 8124M,,2,184.84288354898337
eu-west-2b,c5.xlarge,0.1084,2024-02-18 06:02:35+00:00,20,Intel Xeon Platinum 8124M,,2,184.50184501845018
eu-west-3a,r5d.xlarge,0.1031,2024-02-18 11:16:26+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,184.2870999030068
us-east-2a,r5.xlarge,0.1032,2024-02-18 08:16:36+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,184.10852713178295
ap-northeast-2a,r5.xlarge,0.1036,2024-02-17 22:16:41+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,183.3976833976834
us-west-2c,z1d.xlarge,0.1256,2024-02-18 02:02:43+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,183.12101910828028
us-west-1b,m5.xlarge,0.0874,2024-02-18 10:46:19+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,183.06636155606407
us-east-1b,c5d.xlarge,0.1094,2024-02-18 10:02:10+00:00,20,Intel Xeon Platinum 8124M,,0,182.81535648994517
eu-west-2b,z1d.xlarge,0.126,2024-02-18 08:16:38+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,182.53968253968253
eu-west-1a,c5d.xlarge,0.1098,2024-02-18 08:46:33+00:00,20,Intel Xeon Platinum 8124M,,0,182.14936247723134
us-west-2c,c4.xlarge,0.088,2024-02-18 08:01:48+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,181.81818181818184
eu-west-1c,c4.xlarge,0.088,2024-02-18 11:46:33+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,181.81818181818184
us-west-1b,c4.xlarge,0.0881,2024-02-18 07:16:26+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,181.61180476730988
eu-central-1c,r5.xlarge,0.1048,2024-02-18 06:31:37+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,181.29770992366412
us-east-1a,c5n.xlarge,0.1105,2024-02-18 11:47:44+00:00,20,Intel Xeon Platinum 8124M,,2,180.99547511312218
ca-central-1d,r5d.xlarge,0.105,2024-02-18 09:17:05+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,180.95238095238096
us-east-1d,m5.xlarge,0.0887,2024-02-18 09:02:19+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,180.38331454340474
us-west-1a,c4.xlarge,0.0888,2024-02-18 07:31:34+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,180.18018018018017
ap-southeast-2c,c5n.xlarge,0.1113,2024-02-18 05:16:34+00:00,20,Intel Xeon Platinum 8124M,,1,179.69451931716083
us-west-2d,r5d.xlarge,0.1061,2024-02-18 07:31:45+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,179.07634307257305
sa-east-1b,c5n.xlarge,0.1118,2024-02-18 09:46:25+00:00,20,Intel Xeon Platinum 8124M,,1,178.89087656529517
ap-east-1a,r5d.xlarge,0.1063,2024-02-18 05:01:31+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,178.73941674506113
eu-west-2c,r5.xlarge,0.1063,2024-02-18 09:16:35+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,178.73941674506113
eu-west-2b,r5.xlarge,0.1063,2024-02-18 09:31:37+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,178.73941674506113
us-east-1a,c4.xlarge,0.0904,2024-02-18 06:47:30+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,176.99115044247787
ap-northeast-1c,c4.xlarge,0.0904,2024-02-18 11:01:27+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,176.99115044247787
ap-northeast-1d,r5d.xlarge,0.1077,2024-02-18 03:31:02+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,176.4159702878366
eu-west-1a,c5n.xlarge,0.1135,2024-02-18 11:31:38+00:00,20,Intel Xeon Platinum 8124M,,0,176.21145374449338
us-east-1b,c4.xlarge,0.0912,2024-02-18 09:02:30+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,175.43859649122805
eu-west-1c,c5n.xlarge,0.114,2024-02-18 10:16:59+00:00,20,Intel Xeon Platinum 8124M,,0,175.43859649122805
us-east-1d,c4.xlarge,0.0914,2024-02-18 09:17:00+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,175.054704595186
us-west-2a,c3.xlarge,0.08,2024-02-17 22:32:05+00:00,14,Intel Xeon E5-2680 v2 (Ivy Bridge),,2,175.0
ap-southeast-2b,r5.xlarge,0.1087,2024-02-18 01:46:07+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,174.7930082796688
ca-central-1b,r5.xlarge,0.1087,2024-02-18 09:31:24+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,174.7930082796688
ap-northeast-2c,r5d.xlarge,0.1089,2024-02-18 11:01:27+00:00,19,Intel Xeon Platinum 8175,2.5GHz,4,174.47199265381084
ap-southeast-2a,c5.xlarge,0.115,2024-02-18 09:16:26+00:00,20,Intel Xeon Platinum 8124M,,1,173.91304347826087
ap-southeast-1b,r5.xlarge,0.1093,2024-02-18 08:31:26+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,173.8334858188472
eu-west-3c,m5d.xlarge,0.0921,2024-02-18 10:16:37+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,173.7242128121607
eu-west-3b,c5n.xlarge,0.1152,2024-02-18 07:02:26+00:00,20,Intel Xeon Platinum 8124M,,1,173.61111111111111
us-east-1f,r5.xlarge,0.1097,2024-02-18 09:02:22+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,173.19963536918868
eu-central-1c,c5n.xlarge,0.1155,2024-02-18 11:02:15+00:00,20,Intel Xeon Platinum 8124M,,0,173.16017316017314
us-east-1b,r5.xlarge,0.1098,2024-02-18 08:32:22+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,173.04189435336977
sa-east-1a,r5.xlarge,0.1098,2024-02-18 11:15:58+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,173.04189435336977
ap-south-1b,r5.xlarge,0.1099,2024-02-18 00:01:24+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,172.88444040036396
ap-northeast-1a,c4.xlarge,0.0926,2024-02-18 08:01:28+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,172.78617710583154
eu-west-1b,c4.xlarge,0.0926,2024-02-18 10:46:42+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,172.78617710583154
ap-southeast-2c,r5.xlarge,0.1103,2024-02-18 01:00:58+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,172.25747960108794
ap-northeast-2c,m5d.xlarge,0.0929,2024-02-18 05:47:18+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,172.2282023681378
ap-southeast-2b,m5.xlarge,0.093,2024-02-18 07:30:51+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,172.04301075268816
ap-southeast-2a,m5.xlarge,0.0931,2024-02-18 12:00:48+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,171.8582169709989
ap-southeast-1b,z1d.xlarge,0.1339,2024-02-18 05:01:29+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,171.76997759522033
ap-southeast-2c,c4.xlarge,0.0932,2024-02-18 07:46:23+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,171.67381974248926
us-east-1c,r5.xlarge,0.111,2024-02-18 08:16:53+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,171.17117117117118
eu-west-1a,r5.xlarge,0.1118,2024-02-18 08:16:36+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,169.94633273703042
eu-central-1a,r5.xlarge,0.1119,2024-02-18 01:46:30+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,169.79445933869528
ap-northeast-2a,r5d.xlarge,0.112,2024-02-18 09:46:30+00:00,19,Intel Xeon Platinum 8175,2.5GHz,4,169.64285714285714
ap-northeast-2a,m5d.xlarge,0.0944,2024-02-18 11:32:15+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,169.49152542372883
ap-south-1a,c5n.xlarge,0.118,2024-02-18 06:16:28+00:00,20,Intel Xeon Platinum 8124M,,0,169.49152542372883
sa-east-1a,c5d.xlarge,0.1182,2024-02-18 07:47:01+00:00,20,Intel Xeon Platinum 8124M,,0,169.20473773265653
us-east-1d,r5.xlarge,0.1124,2024-02-18 05:01:53+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,169.0391459074733
ca-central-1a,r5d.xlarge,0.1127,2024-02-18 10:32:08+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,168.58917480035493
ap-northeast-1d,c4.xlarge,0.095,2024-02-18 07:16:23+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,168.42105263157896
ap-east-1b,c5n.xlarge,0.1188,2024-02-18 11:01:40+00:00,20,Intel Xeon Platinum 8124M,,1,168.35016835016836
us-east-1a,r5.xlarge,0.113,2024-02-18 08:47:22+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,168.141592920354
sa-east-1c,c5d.xlarge,0.119,2024-02-18 09:46:40+00:00,20,Intel Xeon Platinum 8124M,,0,168.0672268907563
us-west-2c,m5d.xlarge,0.0956,2024-02-18 08:17:29+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,167.36401673640165
ap-south-1b,m5.xlarge,0.0957,2024-02-18 09:46:30+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,167.1891327063741
eu-west-1a,c4.xlarge,0.0958,2024-02-18 11:46:33+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,167.01461377870564
us-east-2a,c4.xlarge,0.0961,2024-02-18 09:31:29+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,166.49323621227887
us-west-2d,c5n.xlarge,0.1202,2024-02-18 07:47:07+00:00,20,Intel Xeon Platinum 8124M,,1,166.38935108153078
us-west-2c,r5d.xlarge,0.1142,2024-02-18 05:16:41+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,166.37478108581436
ca-central-1a,m5d.xlarge,0.0962,2024-02-18 06:46:35+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,166.32016632016632
us-east-2a,r5d.xlarge,0.1144,2024-02-18 05:46:14+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,166.08391608391608
ap-south-1a,z1d.xlarge,0.1385,2024-02-18 04:31:39+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,166.06498194945846
eu-west-1c,r5.xlarge,0.1147,2024-02-18 10:01:35+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,165.64952048823017
eu-central-1b,c5n.xlarge,0.1211,2024-02-18 06:31:24+00:00,20,Intel Xeon Platinum 8124M,,0,165.15276630883568
ap-northeast-1a,c3.xlarge,0.0849,2024-02-18 10:01:29+00:00,14,Intel Xeon E5-2680 v2 (Ivy Bridge),,0,164.89988221436985
us-east-2a,m5d.xlarge,0.0971,2024-02-18 11:31:33+00:00,16,Intel Xeon Platinum 8175,2.5GHz,2,164.77857878475797
sa-east-1a,m5.xlarge,0.0974,2024-02-18 07:16:22+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,164.2710472279261
ca-central-1b,m5d.xlarge,0.0975,2024-02-18 04:31:49+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,164.1025641025641
eu-west-2a,r5.xlarge,0.1161,2024-02-18 09:01:25+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,163.6520241171404
us-west-2b,r5d.xlarge,0.1162,2024-02-18 07:02:06+00:00,19,Intel Xeon Platinum 8175,2.5GHz,2,163.51118760757316
ap-southeast-1a,c5n.xlarge,0.1226,2024-02-18 08:16:22+00:00,20,Intel Xeon Platinum 8124M,,1,163.1321370309951
